zAxis data_
670.080078125 4707.26318359375
671.2939453125 4808.68798828125
672.5078125 4914.43017578125
673.720703125 4904.91259765625
674.93359375 4705.29931640625
676.146484375 4798.27392578125
677.3583984375 4846.41748046875
678.5703125 4922.3701171875
679.7822265625 4848.70703125
680.994140625 4946.07958984375
682.205078125 4953.66455078125
683.416015625 4864.98046875
684.6259765625 4814.77294921875
685.8369140625 4760.26025390625
687.046875 4832.03564453125
688.2568359375 4818.1884765625
689.4658203125 4789.3408203125
690.6748046875 4741.19775390625
691.8837890625 4789.46435546875
693.0927734375 4876.33544921875
694.30078125 4901.07275390625
695.5087890625 4801.44287109375
696.716796875 4911.97314453125
697.9248046875 4765.09814453125
699.1318359375 4828.4599609375
700.3388671875 4733.01171875
701.544921875 4736.27978515625
702.751953125 4765.3193359375
703.9580078125 4807.2607421875
705.1630859375 4733.201171875
706.369140625 4843.923828125
707.57421875 4802.0810546875
708.779296875 4712.91748046875
709.9833984375 4746.29345703125
711.1875 4629.10986328125
712.3916015625 4692.603515625
713.595703125 4784.1044921875
714.798828125 4871.34375
716.001953125 4711.01611328125
717.205078125 4742.28466796875
718.408203125 4803.72607421875
719.6103515625 4712.21630859375
720.8125 4782.2998046875
722.013671875 4692.89697265625
723.2158203125 4711.2607421875
724.4169921875 4669.24609375
725.6171875 4760.95751953125
726.818359375 4682.2529296875
728.0185546875 4856.02392578125
729.21875 4688.79541015625
730.41796875 4761.1650390625
731.6181640625 4693.18359375
732.8173828125 4707.2607421875
734.015625 4654.35986328125
735.21484375 4594.94970703125
736.4130859375 4650.08740234375
737.611328125 4832.82958984375
738.80859375 4803.69921875
740.005859375 4638.26220703125
741.203125 4682.64306640625
742.400390625 4761.67529296875
743.5966796875 4730.333984375
744.79296875 4785.59521484375
745.9892578125 4736.91748046875
747.185546875 4686.04931640625
748.380859375 4739.171875
749.576171875 4774.97998046875
750.7705078125 4752.2685546875
751.9658203125 4742.55712890625
753.16015625 4659.09375
754.3544921875 4751.32421875
755.5478515625 4604.890625
756.7412109375 4816.5341796875
757.9345703125 4769.9169921875
759.1279296875 4710.24755859375
760.3203125 4750.46826171875
761.5126953125 4686.419921875
762.705078125 4689.70947265625
763.896484375 4610.400390625
765.087890625 4759.34521484375
766.279296875 4777.876953125
767.4697265625 4624.57275390625
768.6611328125 4636.5537109375
769.8515625 4650.716796875
771.041015625 4693.18408203125
772.2314453125 4711.7216796875
773.4208984375 4717.2001953125
774.6103515625 4672.57958984375
775.798828125 4706.37646484375
776.9873046875 4642.11669921875
778.17578125 4645.4033203125
779.3642578125 4659.59375
780.5517578125 4392.447265625
781.7392578125 4616.00537109375
782.9267578125 4523.2802734375
784.11328125 4552.73193359375
785.30078125 4700.08154296875
786.4873046875 4696.83544921875
787.6728515625 4641.169921875
788.8583984375 4620.4306640625
790.0439453125 4643.38427734375
791.2294921875 4517.724609375
792.4150390625 4608.435546875
793.599609375 4690.4423828125
794.7841796875 4625.9453125
795.9677734375 4589.85791015625
797.15234375 4573.44677734375
798.3359375 4493.5537109375
799.5185546875 4477.11181640625
800.7021484375 4517.5966796875
801.884765625 4584.38525390625
803.0673828125 4565.76171875
804.2490234375 4729.01416015625
805.4306640625 4556.98193359375
806.6123046875 4678.6533203125
807.7939453125 4635.9111328125
808.9755859375 4573.40673828125
810.15625 4572.3046875
811.3359375 4588.7578125
812.5166015625 4609.6083984375
813.6962890625 4558.01513671875
814.8759765625 4556.9072265625
816.0556640625 4652.4501953125
817.234375 4550.294921875
818.4130859375 4531.60205078125
819.591796875 4539.27880859375
820.7705078125 4667.88818359375
821.9482421875 4616.220703125
823.1259765625 4516.13330078125
824.302734375 4660.23095703125
825.48046875 4494.0810546875
826.6572265625 4625.03369140625
827.833984375 4586.50439453125
829.009765625 4503.908203125
830.185546875 4758.3203125
831.361328125 4591.994140625
832.537109375 4707.697265625
833.7119140625 4620.6416015625
834.88671875 4531.33837890625
836.0615234375 4602.998046875
837.236328125 4617.333984375
838.41015625 4576.5107421875
839.583984375 4566.56787109375
840.7568359375 4574.28125
841.9306640625 4612.91259765625
843.103515625 4618.431640625
844.2763671875 4555.46630859375
845.4482421875 4585.28076171875
846.6201171875 4688.0498046875
847.7919921875 4605.1572265625
848.9638671875 4570.87548828125
850.134765625 4571.966796875
851.3056640625 4754.47607421875
852.4765625 4664.88037109375
853.646484375 4688.12890625
854.8173828125 4576.33447265625
855.986328125 4579.6416015625
857.15625 4700.34765625
858.3251953125 4657.158203125
859.494140625 4594.0029296875
860.6630859375 4568.49951171875
861.83203125 4671.580078125
863 4548.50390625
864.16796875 4644.9736328125
865.3349609375 4568.42578125
866.5029296875 4605.02490234375
867.669921875 4559.5078125
868.8369140625 4693.81689453125
870.0029296875 4623.869140625
871.1689453125 4576.1015625
872.3349609375 4543.86474609375
873.5009765625 4551.61669921875
874.666015625 4557.1484375
875.8310546875 4584.91845703125
876.99609375 4601.5810546875
878.16015625 4584.88232421875
879.3251953125 4601.5517578125
880.4892578125 4524.751953125
881.65234375 4683.890625
882.81640625 4506.87060546875
883.9794921875 4539.12744140625
885.1416015625 4520.16015625
886.3046875 4581.40283203125
887.466796875 4553.5205078125
888.62890625 4423.07373046875
889.791015625 4606.98095703125
890.9521484375 4594.69677734375
892.11328125 4526.6328125
893.2744140625 4576.80517578125
894.4345703125 4575.66455078125
895.595703125 4529.87158203125
896.755859375 4568.91455078125
897.9150390625 4561.0693359375
899.0751953125 4577.79541015625
900.234375 4514.0810546875
901.3935546875 4461.51123046875
902.5517578125 4513.99755859375
903.7099609375 4557.56298828125
904.8681640625 4558.64892578125
906.0263671875 4555.2607421875
907.18359375 4558.583984375
908.3408203125 4526.09375
909.498046875 4520.45556640625
910.6552734375 4604.3935546875
911.8115234375 4623.4111328125
912.9677734375 4611.06884765625
914.1240234375 4524.7646484375
915.279296875 4619.99072265625
916.4345703125 4605.39599609375
917.58984375 4577.337890625
918.7451171875 4555.99560546875
919.8994140625 4545.86181640625
921.0537109375 4616.51708984375
922.2080078125 4707.40966796875
923.361328125 4670.35888671875
924.5146484375 4615.3232421875
925.66796875 4441.2001953125
926.8212890625 4498.43115234375
927.9736328125 4571.421875
929.1259765625 4720.88037109375
930.2783203125 4739.99267578125
931.4306640625 4601.67529296875
932.58203125 4672.50927734375
933.7333984375 4689.3720703125
934.8837890625 4717.49609375
936.03515625 4806.4169921875
937.185546875 4787.2939453125
938.3359375 4810.95556640625
939.4853515625 4868.4208984375
940.634765625 4916.89990234375
941.7841796875 4809.88037109375
